tstamp,No,Yes
2025-04-01 09:05:05.802002,0.6705882352941177,0.32941176470588235
2025-04-01 12:25:01.104155,0.6705882352941177,0.32941176470588235
2025-04-01 13:15:17.242556,0.6705882352941177,0.32941176470588235
2025-04-01 13:16:50.411861,0.6705882352941177,0.32941176470588235
2025-04-01 15:05:04.370169,0.6705882352941177,0.32941176470588235
2025-04-01 15:32:17.256011,0.6705882352941177,0.32941176470588235
2025-04-01 16:01:45.963619,0.6705882352941177,0.32941176470588235
2025-04-01 17:03:59.865751,0.6705882352941177,0.32941176470588235
2025-04-01 17:08:36.211005,0.6705882352941177,0.32941176470588235
2025-04-01 17:11:20.306520,0.6705882352941177,0.32941176470588235
2025-04-01 18:05:05.598703,0.6705882352941177,0.32941176470588235
2025-04-01 18:45:21.807241,0.6705882352941177,0.32941176470588235
2025-04-01 18:53:18.446409,0.6705882352941177,0.32941176470588235
2025-04-01 18:56:20.807981,0.6705882352941177,0.32941176470588235
2025-04-01 19:58:27.866447,0.6705882352941177,0.32941176470588235
2025-04-01 21:05:05.285878,0.6705882352941177,0.32941176470588235
2025-04-01 23:05:04.767124,0.6705882352941177,0.32941176470588235
2025-04-02 06:05:05.494152,0.6880733944954128,0.3119266055045871
2025-04-02 09:05:04.396687,0.6705882352941177,0.32941176470588235
2025-04-02 12:05:04.361476,0.6705882352941177,0.32941176470588235
2025-04-02 15:05:10.846551,0.6705882352941177,0.32941176470588235
2025-04-02 18:05:05.213066,0.6705882352941177,0.32941176470588235
2025-04-02 19:12:26.244850,0.6705882352941177,0.32941176470588235
2025-04-02 21:05:07.175285,0.6705882352941177,0.32941176470588235
2025-04-02 23:05:04.623361,0.6705882352941177,0.32941176470588235
2025-04-03 06:05:04.815744,0.6705882352941177,0.32941176470588235
2025-04-03 09:05:06.676091,0.6705882352941177,0.32941176470588235
2025-04-03 10:48:38.737884,0.6705882352941177,0.32941176470588235
2025-04-03 12:05:05.014494,0.6705882352941177,0.32941176470588235
2025-04-03 13:07:02.088834,0.6705882352941177,0.32941176470588235
2025-04-03 15:05:05.925873,0.6705882352941177,0.32941176470588235
2025-04-03 15:15:54.067627,0.6705882352941177,0.32941176470588235
2025-04-03 15:46:49.359432,0.6705882352941177,0.32941176470588235
2025-04-03 16:49:32.951287,0.6705882352941177,0.32941176470588235
2025-04-03 17:00:48.520472,0.6705882352941177,0.32941176470588235
2025-04-03 18:05:04.997813,0.6705882352941177,0.32941176470588235
2025-04-03 21:05:06.647772,0.6705882352941177,0.32941176470588235
2025-04-03 23:05:07.400385,0.6705882352941177,0.32941176470588235
2025-04-04 06:05:05.105424,0.6705882352941177,0.32941176470588235
2025-04-04 09:05:04.929510,0.6705882352941177,0.32941176470588235
2025-04-04 12:05:06.303683,0.6705882352941177,0.32941176470588235
2025-04-04 15:05:05.069989,0.6705882352941177,0.32941176470588235
2025-04-04 17:51:02.764789,0.6769596199524941,0.32304038004750596
2025-04-04 18:05:04.834002,0.6769596199524941,0.32304038004750596
